"Reference","Value","Datasheet","Footprint","Qty","DNP","Manufacturer Part Number","Manufacturer_Name"
"C1,C24,C27","1uF","~","Capacitor_SMD:C_0805_2012Metric,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3","","",""
"C2,C21","100pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","","",""
"C3,C4,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20","220nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","17","","",""
"C5","0.47uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","",""
"C22,C26","0.1uF","~","Capacitor_SMD:C_0805_2012Metric,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","","",""
"C23","2.2uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","",""
"C25","22nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","",""
"C28","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","",""
"C29","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","",""
"D1,D6","100V","~","Diode_SMD:D_SMA","2","","",""
"D2,D3,D4,D5,D9,D10","LED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","6","","",""
"D7,D8","1N4002","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_SMD:D_SMA_Handsoldering","2","","",""
"J1","GPIO","~","Inverted_PinSocket:PinSocket_2x20_P2.54mm_Vertical_Inverted","1","","",""
"J2","61202021621","https://www.we-online.com/en/components/products/datasheet/61202021621?ki","Connector_THT_WÃ¼rth_BHD:J_Wurth_WR-BHD_61202021621","1","","",""
"P1","61300821121","","WR_PHD Dual Male:61300821121","1","","61300821121",""
"P2","61300421121","","WR_PHD Dual Male:61300421121","1","","61300421121",""
"P3","61302421121","","WR_PHD Dual Male:61302421121","1","","61302421121",""
"Q1","NPN","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs","FCX495TA:SOT89_DIO","1","","",""
"Q2","2N7002","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","Package_TO_SOT_SMD:SOT-23","1","","",""
"R1,R19,R20","100","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3","","",""
"R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18","20","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","17","","",""
"R21","0.001","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","",""
"R22,R33,R35","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3","","",""
"R23","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","",""
"R24,R25,R26,R27,R31,R36","R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6","","",""
"R28","300","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","",""
"R29","680","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","",""
"R30","240","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","",""
"R32","1.5k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","",""
"R34","33","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","",""
"SW2","416131160801","~","WS-DISV:416131160801","1","","",""
"U1","LM317DCY","https://www.ti.com/lit/gpn/lm317","LM317DCY:DCY0004A_N","1","","",""
"U2","PBQ76952PFBT","https://www.ti.com/lit/gpn/bq76952","BQ769x2:PFB48_TEX","1","","",""
"U3","STM1061N38WX6F","https://www.st.com/resource/en/datasheet/stm1061.pdf","STM1061N38WX6F:SOT-23_STM","1","","",""
